Stock,Industry Group,Market Cap,Return  1yr,Return 3yr,Return 5yr,ROE,ROCE,Debt to equity,REV growth,PE
Grand Continent,Leisure Services,276.36,,,,15.56,19.48,0.24,103.18,41.12
Grand Foundry,Industrial Products,35.85,42.96,28.9,41.18,,,,-100,
Grand Oak Canyon,Finance,1592.97,28.51,58.57,74.45,-1.17,-0.22,3.05,-87.3,332.56
Grandma Trading,Commercial Services & Supplies,6.4,-18.33,,,-37.74,-31.02,,-35.48,
Granules India,Pharmaceuticals & Biotechnology,14129.39,26.08,27.11,11.24,13.86,15.14,0.45,14.18,26
Graphisads,Media,57.57,-40.57,,,8.32,8.61,0.48,-5.62,8.39
Graphite India,Industrial Products,14029.92,83.45,34.42,8.45,8,10.11,0.05,3.37,40.36
Grasim Inds,Cement & Cement Products,190532.65,21.38,20.82,17.3,3.95,7.5,2.06,18.78,41.31
Gratex Industrie,"Paper, Forest & Jute Products",5.51,-5.85,4.33,5.79,2.52,3.85,0.01,-7.25,61.22
Grauer & Weil,Chemicals & Petrochemicals,2834.28,-28.16,6.96,24.38,17.58,23.34,0.01,4.3,20.21
Graviss Hospital,Leisure Services,211.49,-32.83,6.62,15.17,4.7,1.18,0.06,6.82,
Gravita India,Minerals & Mining,11905.3,1.15,52,70.41,21.17,21.5,0.2,11.76,31.16
Gravity (India),Textiles & Apparels,14.14,212.95,59.52,61.95,-65.58,-38.24,0.66,5530.28,2.47
GRE Renew,Construction,138.71,,,,26.9,33.52,0.04,-7.33,19.73
Greaves Cotton,Industrial Products,3561.92,-33.11,6.13,1.68,4.11,5.13,0.13,17.74,32.8
Greenchef Appli.,Consumer Durables,106,-28.66,,,5.08,6.14,0.77,8.8,
Greencrest Finan,Commercial Services & Supplies,18.64,-29.17,-18.44,-3.2,2.24,5.28,0.83,-46.43,
Greenhitech Ven.,Petroleum Products,107.16,-20.06,,,12.79,,0.03,,96.54
Greenlam Industr,Consumer Durables,6098.29,6.12,15.96,20.47,6.07,7.41,1.03,14.28,335.66
Greenleaf Envi.,Other Utilities,70.38,,,,44.61,46.45,0.48,18.04,11.14
Greenpanel Inds.,Consumer Durables,2522.81,-23.51,-10.25,2.72,5.34,4.48,0.3,3.92,
Greenply Industr,Consumer Durables,2757.52,-19,16.96,3.73,12.03,12.36,0.64,7.09,37.14
Gretex Corporate,Capital Markets,867.14,52.85,94.14,,0.86,2.7,0.06,-19.49,
Gretex Industrie,Entertainment,418.66,30.06,119.59,97.44,6.55,5.74,0.02,5.75,152.24
Grill Splendour,Leisure Services,69.42,42.69,,,-34.93,-24.53,0.14,-3.13,
Grindwell Norton,Industrial Products,18406.09,15.62,-3.03,12.76,16.04,20.9,0.04,5.28,47.31
GRM Overseas,Agricultural Food & other Products,3329.24,119.43,16.81,46.52,16.03,13.5,0.44,0.04,45.38
Groarc Industrie,IT - Software,12.83,-0.79,-14.83,,2.21,2.91,0.04,-31.32,
Grob Tea Co,Agricultural Food & other Products,110.13,10.82,5.11,-1.05,11.25,12.71,0.14,2.53,19.63
Grover Jewells,Consumer Durables,237.05,,,,59.43,52.18,0.56,78.67,30.95
Grovy India,Realty,56.01,-19.89,19.68,38.01,9.12,7.63,0.75,15.98,25.23
Growington Vent,Commercial Services & Supplies,59.73,-48.04,-40.79,2.8,12.52,17.26,0.11,174.63,15.8
GRP,Industrial Products,967.36,-28.09,38.18,55.42,17.44,17.52,1.12,4.38,38.4
GSB Finance,Finance,19.85,-20.9,54.04,34.56,5.14,6.42,0,-48.73,
GSL Securities,Finance,22.68,190.58,94.42,63.73,-2.78,-4.17,0,-90.48,
GSM Foils,Industrial Products,290.24,69.27,,,45.66,45.64,0.24,118.02,17.1
GSS Infotech,IT - Services,35.29,-70.37,-60.78,-23.93,-0.39,0.02,0.41,-19.38,
GTL,Telecom - Services,110.58,-17.49,8.86,0.82,,,,-5.46,
GTL Infra.,Telecom - Services,1409,-25.68,8.97,2.98,,,,3.03,
GTN Industries,Textiles & Apparels,38.05,-21.38,-12.03,14.13,-5.4,-0.95,0.37,-4.66,
GTN Textiles,Textiles & Apparels,10.39,-7.84,-7.13,11.42,,-1.48,,,
GTPL Hathway,Entertainment,657.46,-44.89,-19.89,-13.9,4.13,5.9,0.33,8.61,15.84
GTT Data,IT - Software,237.65,-16.18,235.34,125.8,-30.35,-15.35,0.21,818.39,
GTV Engineering,Industrial Manufacturing,293.8,29.52,60.66,103.42,27.38,28.49,0.1,-18.24,19.08
Gufic BioScience,Pharmaceuticals & Biotechnology,2838.5,-14.37,10.1,18.87,12.27,13.15,0.58,10.8,56.74
Guj Apollo Inds,Industrial Manufacturing,485.21,43.83,21.01,11.65,0.16,1.31,0.09,51.88,
Guj Inds. Power,Power,2191.96,-10.51,21.52,12.16,6.19,6.44,0.79,8.55,15.09
Guj Pipavav Port,Transport Infrastructure,8550.6,41.55,17.47,12.35,18.96,24.89,0.02,10.8,19.4
Guj. Ambuja Exp,Agricultural Food & other Products,6464.5,35.79,6.82,16.41,8.59,11.46,0.09,17.82,31.64
Guj. Containers,Industrial Products,88.03,-11.63,0.83,51.69,17.41,18.36,0.38,-4.09,13.14
Guj. Craft Inds,Industrial Products,50.67,-22.01,11.18,21.75,4.35,7.31,1.06,5.86,22.52
Guj. Credit Corp,Finance,63.75,-22.73,4.08,46.26,-6.47,-0.99,1.36,,
Guj. Inject(Ker),Pharmaceuticals & Biotechnology,94.05,132.1,108.04,,11,13.48,0,-51.21,376.2
Guj. Lease Fin.,Finance,15.11,6.1,25.77,10.7,,1.02,,2.44,377.75
Guj. Petrosynth.,Chemicals & Petrochemicals,35.82,6.1,22.3,23.25,2.93,4.45,0,36.93,14.8
Guj. Raffia Inds,Industrial Products,20.41,-8.06,12.53,-13.81,2.49,3.97,0.1,137.98,27.58
Guj. State Fin.,Finance,99.45,-33.69,17.38,32.82,,,,-25,
Guj. Terce Labs.,Pharmaceuticals & Biotechnology,29.89,-43.49,30.7,36.82,-14.57,41.41,0.08,-3.37,
Guj. Themis Bio.,Pharmaceuticals & Biotechnology,3359.4,40.83,51.82,58.95,21.69,27.29,0.27,2.74,70.31
Guj. Toolroom,Industrial Products,83.54,-67.21,-23.87,46.14,26,23.96,0.2,-86.92,4.64
Guj.Nat.Resour.,Oil,1302,374.94,107.68,50.32,-2.87,-0.56,0.05,0.38,179.59
Guj.St.Petronet,Gas,17194.34,11.94,2.07,4.09,9.89,15.16,0.01,-7.5,16.34
Gujarat Alkalies,Chemicals & Petrochemicals,3509.7,-8.82,-9.07,6.93,-1.13,-0.34,0.11,7.73,
Gujarat Cotex,Textiles & Apparels,11.89,-37.87,41.14,45.97,3.26,3.59,0.12,64.91,20.15
Gujarat Fluoroch,Chemicals & Petrochemicals,38264.05,-2.83,2.81,43.3,8.29,9.89,0.23,4.46,57.37
Gujarat Gas,Gas,28045.01,10,-7.29,-5.23,14.25,19.5,0.02,-6.7,24.13
Gujarat Hotels,Leisure Services,72.16,-29.77,11.66,12.92,11.44,14.98,0,11.34,12.53
Gujarat Hy-Spin,Textiles & Apparels,16.92,-49.88,-6.86,4.77,0.52,4.09,0.49,-5.64,188
Gujarat Intrux,Industrial Products,148.34,3.04,43.21,33.92,16.56,22.05,0,5.42,13.6
Gujarat Kidney,Healthcare Services,896.68,,,,51.22,51.52,0.32,743.61,91.03
Gujarat Peanut,Food Products,89.28,,,,44.36,22.64,0.84,22.25,14.49
Gujarat Poly,Electrical Equipment,50.06,-22.56,21.87,50.24,20.84,12.5,0.7,-6.78,1.76
Gujarat Winding,"Paper, Forest & Jute Products",4.27,20.44,60.59,-1.4,1.44,1.92,0,,
Gulf Oil Lubric.,Petroleum Products,5455.25,0.53,38.44,7.74,25.46,28.3,0.29,10.71,14.82
Gulshan Polyols,Agricultural Food & other Products,1002.42,2.57,-5.6,15.31,3.91,6.3,0.71,35.17,23.5
Gurunanak Agri.,"Agricultural, Commercial & Construction Vehicles",37.8,,,,66.2,55.48,0.25,-0.77,7.92
GVK Power Infra.,Construction,440.6,-28.09,-0.71,1.82,,10.55,,-84.93,
GVP Infotech,IT - Software,113.68,-25.27,-42.84,37.5,-1.58,-1.44,0,-29.68,
Gyan Developers,Realty,11.25,8.92,89.38,65.71,22.43,32.01,0,528.57,8.72
H D I L,Realty,117.08,-27.78,-14.49,-14,,-0.11,,-23.14,
H P C L,Petroleum Products,93358.21,49.36,45.15,21.6,13.76,10.52,1.11,-0.61,6.06
H P Cotton Tex,Textiles & Apparels,43.61,13.47,7.42,23.86,17.1,19.22,2.17,26.71,13.3
H T Media,Media,507.91,19.89,5.56,-3.59,0.03,2.51,0.48,6.68,11.58
H U D C O,Finance,37385.48,13.09,60.88,28.29,15.67,9.62,7.03,30.44,13.44
H. S. India,Leisure Services,19.34,-22.46,6.25,19.68,4.51,7.04,0.45,-0.57,14.88
H.G. Infra Engg.,Construction,3522.17,-43.96,-9.53,13.91,18.28,16.76,1.84,-4.35,9.23
H.M. Electro,Construction,64.93,-20.11,,,17.12,22.41,0.09,3.96,8.79
Halder Venture,Agricultural Food & other Products,311.26,30.87,38.2,48.43,14.76,16.18,2.01,-48.08,76.67
Haldyn Glass,Industrial Products,498.92,-0.78,15.6,24.77,8.88,11.54,0.6,14.87,21.36
Haleos Labs Limited,Pharmaceuticals & Biotechnology,381.02,14.5,31.77,18.92,10.76,11.78,0.34,0.62,19.19
Hamps Bio,Agricultural Food & other Products,16.39,-25.15,,,4.94,6.68,0.44,3.64,
Hampton Sky,Realty,308.48,-55.04,-36.23,30.26,3.84,6.07,0.46,-89.25,
Handson Global,IT - Services,70,17.63,9.19,6.99,18.03,20.13,1.01,146.56,162.79
Hanman Fit,Leisure Services,4.97,38.3,23.19,16.54,-39.42,-33.74,0,-35,
Hannah Joseph,Healthcare Services,136.6,,,,14.77,16.97,0.6,22.27,18.95
Happiest Minds,IT - Software,5478.85,-47.57,-25.13,-7.36,12.61,15.25,0.78,16.66,26.45
Happy Forgings,Industrial Products,12580.51,58.16,,,15.46,19.17,0.1,5.3,44.01
Happy Square,Commercial Services & Supplies,45.07,,,,61.94,40.91,0.2,40.58,8.89
Hardcast.& Waud,Chemicals & Petrochemicals,47.99,-4.62,24.26,30.43,2.91,6.31,0,67.04,16.16
Hardwyn India,Consumer Durables,848.9,33.49,3.98,42.87,2.89,4.23,0.02,2.86,72.99
Hari Govind Intl,Textiles & Apparels,177.45,,,,-2.64,-2.18,0.01,,
Haria Apparels,Textiles & Apparels,8.26,11.34,5.8,38.75,14.71,15.08,0.44,,10.32
Haria Exports,Consumer Durables,8.09,14.01,11.87,52.45,0.78,0.78,0,,62.23
Harig Crankshaft,Auto Components,7.15,,,,,,,,
Hariom Pipe,Industrial Products,1140.22,6.32,-3.23,,11.87,14.11,0.69,21.05,18.13
Harish Textile,Industrial Manufacturing,22.56,-3.37,26.39,14.85,2.84,9.56,2.86,-0.22,4.33
Hariyana Ship,Industrial Manufacturing,67.81,11.97,19.97,18.95,1.1,3.2,0.1,272.34,6.64
Harmony Capital,Commercial Services & Supplies,24.16,33.73,88.67,78.29,-57.69,-57.69,0.07,-100,
Harri. Malayalam,Industrial Products,352.6,5.93,15.52,6.42,9.54,10.95,0.69,2.02,13.99
Harsha Engg Intl,Industrial Products,3364.53,-6.5,1.85,,8.75,12.14,0.24,7.83,27.2
Harshdeep Horti.,Agricultural Food & other Products,148.07,61.26,,,22.95,27.06,0.04,27.95,13.24
Harshil Agrotech,Industrial Manufacturing,37.34,-89.3,,37.97,16.44,17.39,0,73.43,
Haryana Capfin,Finance,77.51,-0.93,41.07,36.33,1.41,1.88,0,-8.5,16.56
Haryana Fin. Co.,Finance,1661.26,189.12,,,0,0.03,0,1097.62,205.09
Haryana Leather,Chemicals & Petrochemicals,30.33,-12.64,17.29,15.94,5.45,8.02,0.01,2.87,14.8
Hasti Finance,Finance,8.75,6.61,12.03,12.14,-50.56,-50.56,0,-40.91,
Hathway Bhawani,Entertainment,9.92,-22.96,-12.59,-8.21,2.25,3.38,0,4.49,43.13
Hathway Cable,Entertainment,1897.55,-18.91,-11.18,-19.13,2.22,3.03,0,4.8,17.89
Hatsun Agro,Food Products,19817.91,-8.51,-0.04,4.73,17.05,13.12,1.08,11.02,51.47
Havells India,Consumer Durables,87634.05,-1.74,4.78,4.67,18.81,25.32,0.03,8.17,57.71
Hawa Engineers,Industrial Manufacturing,27.48,-35.6,3.73,22.46,8.41,14.55,1.05,-0.5,12.32
Hawkins Cookers,Consumer Durables,3887.36,-1.99,6.36,5.52,32,40.91,0.16,9.97,30.91
Haz.Multi Proj.,Realty,783,-7.24,51.44,154.71,11.37,14.11,0.79,-21.3,28.89
HB Estate Devel.,Realty,176.84,-16.24,43.25,45.78,6.6,8.2,1.49,1.17,13.89
HB Leasing &Fin.,Finance,16.46,0.71,46.75,61.92,-7.02,-6.93,0.01,-60.61,
HB Portfolio,Finance,64.87,-31.72,15.34,23.77,-0.02,0.8,0,-62.9,99.8
HB Stockholdings,Finance,39.73,-30.23,6.52,30.16,-12.27,-9.14,0.13,-32.67,
HBL Engineering,Industrial Products,18980.92,58.1,89.48,76.7,20.58,27.33,0.04,51.03,23.21
HCKK Ventures,Diversified,12.68,-78.21,-30.53,-4.42,5.14,6.93,0.01,-38.78,84.53
HCL Infosystems,IT - Hardware,426.99,1.73,-2.4,6.54,,-35.14,,-21.4,
HCL Technologies,IT - Software,376955.22,-11.81,8.05,8.35,25,31.61,0.1,9.63,21.96
HCP Plastene,Industrial Products,191.19,51.91,-11.3,,17.66,13.23,2.96,35.72,9.55
HDB FINANC SER,Finance,58557.19,,,,14.72,9.79,4.68,15.01,25.2
HDFC AMC,Capital Markets,115597.21,48.75,43.95,12.93,32.35,43.33,0,20.56,40.21
HDFC Bank,Banks,1366198.01,2.49,3.57,2.64,14.45,7.51,6.2,5.83,18.34
HDFC Life Insur.,Insurance,154334.26,17.55,13.46,0.28,10.8,6.58,0.18,2.94,81.65
Heads UP Venture,Textiles & Apparels,17.95,-32.87,-15.13,-7.1,9.5,10.93,0,4974.19,4.29
Health.Global,Healthcare Services,8117.1,14.75,27.95,27.94,5.14,8.56,1.92,16.22,298.31
Healthy Life,Food Products,43.97,-76.9,27.95,,10.64,13.34,0.21,29.27,11.66
HEC Infra Proj.,Construction,122.19,17.65,54.45,,20.98,19.03,0.74,83.69,10.06
Heera Ispat,Industrial Products,3.94,17.78,-18.83,27.19,,-235.9,,,
HEG,Industrial Products,11148.31,61.19,44.09,14.87,2.59,3.96,0.14,16.19,29.23
Heidelberg Cem.,Cement & Cement Products,3710.34,-14.91,-1.51,-6.38,7.48,11.41,0.06,7.64,26.12
Helloji Holidays,Leisure Services,45.28,,,,50.85,64.26,0.01,8.13,21.56
Helpage Finlease,Finance,23.38,44.7,15,14.71,9.32,14.51,4.93,90.95,7.33
Hemang Resources,Commercial Services & Supplies,17.17,-44.73,-37.42,18.79,2.1,3.13,0.07,7.21,18.87
Hemant Surgical,Healthcare Equipment & Supplies,382.68,192.04,,,13.58,16.35,0.43,13.98,36.94
Hemisphere Prop,Commercial Services & Supplies,4029.9,14.09,14.76,-3.96,-1.99,-0.73,0.2,22.5,
Hemo Organic,Commercial Services & Supplies,5.67,64.42,25.89,1.28,,2.65,,11950,63
Heranba Inds,Fertilizers & Agrochemicals,834.16,-12.22,-13.89,,0.37,4.39,0.61,20.81,
Hercules Investments,Industrial Manufacturing,413.28,-19.24,32.03,29.38,0.71,0.72,0,,52.98
Heritage Foods,Food Products,2954.16,-11.94,30.02,12.72,20.21,25.28,0.21,9.42,18.08
Hero Motocorp,Automobiles,114251.26,55.12,32.93,11.25,23.06,30.34,0.03,9.45,20.65
Hester Bios,Pharmaceuticals & Biotechnology,1328.86,4.32,-4.73,-2.03,9.18,9.71,0.63,1.94,32.45
Hexa Tradex,Finance,884.61,-26.95,1.93,17.58,-0.6,0.05,0,-912.28,
Hexaware Tech.,IT - Software,28931.61,-41.43,,,24.87,30,0.11,12.16,19.94
HFCL,Telecom - Services,10486.16,-13.49,1.33,18.6,4.42,7.55,0.38,-14.47,202.4
Hi-Green Carbon,Other Utilities,329.37,-39.5,,,12.38,11.88,0.62,77.87,31.22
Hi-Klass Trading,Finance,86.47,,,,-6.64,-6.25,0.75,429.87,786.08
Hi-Tech Pipes,Industrial Products,1789.99,-14.97,1.49,20.67,7.47,11.26,0.14,11.06,27.77
High Energy Bat.,Household Products,488.62,19.93,17.06,23.08,17.3,22.95,0.22,39.06,27.48
Highway Infra,Transport Infrastructure,396.04,,,,18.83,19.59,0.21,4.32,11.41
Hikal,Pharmaceuticals & Biotechnology,2425.08,-43.92,-13.17,4.23,7.38,9.85,0.57,-4.17,97
Hiliks Technolog,Finance,49.27,-28.22,90.68,42.68,3.27,5.18,0,169.13,273.72
Hilltone Softwar,Chemicals & Petrochemicals,74.26,47.13,,,-1.16,2.34,0.03,86.21,
Hilton Met.Forg.,Industrial Products,91.71,-75,-43.52,16.4,5.75,7.92,0.57,47.79,11.7
Him Teknoforg.,Auto Components,190.38,23.69,36.85,17.47,4.93,9.33,0.7,6.84,14.7
Himadri Special,Chemicals & Petrochemicals,24461.6,18.76,76.35,60.41,16.42,22.01,0.21,-3.17,34.64
Himalaya Food,Agricultural Food & other Products,78.18,-23.68,-22.54,-1.35,2.79,2.29,0,-9.46,12.05
Himatsing. Seide,Textiles & Apparels,1253.9,-11.57,7.98,-8.65,1,9.04,1.22,-9.35,8.01
Hind Aluminium,Non - Ferrous Metals,59.98,40.87,38.54,20.68,10.66,-1.04,0.01,592.44,6.33
Hind Rectifiers,Industrial Manufacturing,2437.18,68.03,95.3,59.28,25.72,21.6,1.09,39.98,46.41
Hind. Unilever,Diversified FMCG,549357.93,11.54,-0.32,2.65,20.72,27.85,0.04,3.44,50.33
Hind.Adhesive,Industrial Products,153.04,-8.02,14.78,21.46,17.99,17.25,0.82,-10.27,7.97
Hind.Aeronautics,Aerospace & Defense,261705.03,26.71,42.86,48.46,26.07,33.88,0,2.48,29.42
Hind.Appliances,Commercial Services & Supplies,103.87,-10.11,,,1.03,0.3,2.45,,1038.7
Hind.Bio Science,IT - Software,7.8,4.68,10.76,22.76,11.76,2.95,3.05,-10.74,55.71
Hind.Composites,Auto Components,607.74,-6.2,15,6.46,4.17,5.33,0,14.25,16.83
Hind.Construct.,Construction,4552.64,-12.58,14.43,21.29,-0.7,25.15,1.47,-27.52,27.4
Hind.Fluoro Carb,Chemicals & Petrochemicals,33.95,32.92,19.69,19.06,,1.02,,,56.58
Hind.Oil Explor.,Oil,1730.8,-27.41,-1.71,5.72,11.8,12.33,0.06,-23.18,23.31
Hind.Organ.Chem.,Chemicals & Petrochemicals,202.32,20.38,3.97,0.32,-21.61,-5.2,0.23,-1.39,
Hind.Tin Works,Industrial Products,123.6,-20.21,9.26,13.25,5.88,7.95,0.42,8.1,11.97
Hind.Urban Infra,Electrical Equipment,336.87,5.02,11.35,-3.04,-7.3,-3.29,0.23,19.66,
Hindalco Inds.,Non - Ferrous Metals,207801.04,45.77,30.82,21.86,14.02,14.8,0.56,13.98,12
Hindcon Chemical,Chemicals & Petrochemicals,103.56,-43.44,5.64,33.45,7.27,9.97,0.11,7.91,35.11
Hindoo. Mills,Textiles & Apparels,28.55,-4.12,-9.52,-9.2,-29.77,-28.43,0.02,-58.8,71.38
Hindprakash Indu,Chemicals & Petrochemicals,143.7,0.79,13.29,21.76,2,5.23,0.73,36.49,131.83
Hinduja Global,Commercial Services & Supplies,1749.16,-28.62,-34.09,-8.08,1.6,3.01,0.24,0.97,
Hindustan Agrig.,Agricultural Food & other Products,16.36,-41.82,,,-3.61,-3.53,0,-42.86,545.33
Hindustan Copper,Non - Ferrous Metals,54762.57,179.9,76.73,29.2,18.72,23.75,0.05,39.28,82.08
Hindustan Foods,Diversified FMCG,5821.15,-4.55,-5.32,2.05,13.97,14.34,0.87,17.93,42.64
Hindustan Hardy,Auto Components,128.22,22.76,43.26,42.9,25.03,28.37,0.21,40.16,14.03
Hindustan Media,Media,516.44,-14.87,11.04,-0.53,4.96,5.36,0.05,10.23,6.28
Hindustan Motors,Automobiles,340.32,-27.35,5.22,16.05,4.02,3.16,0,-100,95.6
Hindustan Zinc,Non - Ferrous Metals,255124.76,54.5,24.68,15,72.42,60.73,0.82,11.49,21.86
Hindware Home In,Consumer Durables,1906.72,13.91,-13.42,-4.44,-6.46,3.62,1.21,-1.92,98.56
Hipolin,Household Products,17.99,-43.09,-6.34,6.99,-33.54,-24.64,0.14,-36.53,
Hira Automobile,Commercial Services & Supplies,56.36,136.8,133.69,,5.76,8.95,5.93,-36.94,140.9
Hisar Met.Inds.,Industrial Products,91.19,-0.27,7.13,10.27,5.06,9.37,1.07,1.19,30.4
Hisar Spg. Mills,Textiles & Apparels,23.8,44.81,9.66,38.53,12.34,15.13,0.14,-1.06,6.47
Hit Kit Global,IT - Software,20.27,142.58,78.6,50.31,2.15,2.14,0,-1.3,
Hitachi Energy,Electrical Equipment,113935.88,126.53,97.46,78.14,13.79,19.44,0.02,17.44,129.17
Hitech Corp.,Industrial Products,242.44,-15.75,-10.87,0.61,2.94,,0.47,,23.63
Hittco Tools,Industrial Manufacturing,7.11,-9.84,5.42,18.3,-0.29,3.21,1.52,45.33,
HLE Glascoat,Industrial Manufacturing,2276.38,34.85,-14.59,-5.6,10.67,12.53,0.75,29.4,42.73
HLV,Leisure Services,524.11,-40,-7.82,6.33,5.57,5.61,0.08,-3.46,59.9
HMA Agro Inds.,Food Products,1297.49,-19.26,,,11.48,11.81,0.73,36.1,7.63
HMT,Industrial Manufacturing,2167.39,24.41,31.83,18.04,,,,-26.72,
Hoac Foods,Food Products,157.71,213.23,,,33.92,37.35,0.06,82.16,43.33
Holmarc Opto,Industrial Products,95.48,-36.2,,,14.67,19.73,0.01,-0.33,35.63
Home First Finan,Finance,11290.89,6.33,13.89,15.34,16.46,11.35,2.4,28,22.78
Homesfy Realty,Realty,48.73,-65.67,-28.33,,3.25,4.8,0,-28.4,
Honasa Consumer,Personal Products,9858.7,40.65,,,5.51,7.44,0.09,17.29,63.79
Honda India,Industrial Manufacturing,2155.36,9.3,3.7,13.87,9.47,12.81,0,14.92,26.24
Honeywell Auto,Industrial Manufacturing,27381.9,-8.09,-4.23,-7.39,13.7,18.4,0.02,14.65,53.4
Howard Hotels,Leisure Services,21.55,-1.46,39.91,39.37,3.55,6.09,0.41,0.13,50.12
HP Adhesives,Chemicals & Petrochemicals,336.9,-21.49,-16.59,,9.82,13.57,0.01,7.29,24.22
HP Telecom,Commercial Services & Supplies,295.48,115.56,,,5.8,,0.58,,134.92
HPL Electric,Industrial Manufacturing,2186.22,-5.11,58,49.88,10.82,14.48,0.78,9.32,21.6
HRH Next,Commercial Services & Supplies,33.28,-59.68,,,10.91,15.33,0.25,15.15,10.47
HRS Aluglaze,Industrial Manufacturing,470.48,,,,34.25,20.16,1.92,57.77,91.36
Hubtown,Realty,3049.62,4.79,75.14,67.76,2.41,8.13,0.41,38.98,23.6
Huhtamaki India,Industrial Products,1333.19,0.27,-3.71,-8.43,9.84,12.95,0.12,-2.05,11.35
Humming Bird Edu,Other Consumer Services,12.46,-77.91,-7.07,12.39,26.92,41.69,0.02,-0.15,31.95
HVAX Technolog.,Construction,195.77,16.92,,,21.32,22.34,0.25,17.59,16.13
Hybrid Financial,Capital Markets,56.02,60.19,24.76,,11.64,11.17,0.02,4.15,16.43
Hypersoft Tech.,IT - Software,120.25,282.38,86.53,70.47,9.07,20.65,0,6413.04,40.22
Hyundai Motor I,Automobiles,175947.65,25.17,,,42.18,54.25,0.05,1.3,30.96
I G Petrochems,Chemicals & Petrochemicals,1112.62,-16.32,-5.16,-4.76,8.17,10.89,0.31,-17.51,
I O B,Banks,70190.27,-16.26,13.54,15.41,11.02,5.95,10.93,14.43,14.77
I O C L,Petroleum Products,264730.86,65.19,34.56,22.8,6.51,7.36,0.74,1.3,7.4
I Power Solution,IT - Services,13.82,47.48,49.64,43.79,-16.89,-11.63,0.01,,
I R C T C,Leisure Services,45564,-15.11,-2.33,8,37.16,49.03,0.02,10.14,32.96
I R F C,Finance,135324.38,-7.89,55.95,31.94,12.77,5.83,2.73,-0.86,19.31
I T D C,Leisure Services,4508.9,6.76,17.66,10.03,24.21,30.54,0,14.72,56.3
IB Infotech,Agricultural Food & other Products,82.33,278.15,156.15,114.22,35.41,38.49,0.71,15.61,51.46
IBL Finance,Finance,118.83,-5.78,,,4.11,7.53,0.62,13.06,53.05
ICDS,Commercial Services & Supplies,53.54,-5.52,25.89,,6.05,11.85,0,85.9,22.69
ICE Make Refrig.,Industrial Manufacturing,1302.54,28.59,44.53,62.37,20.3,20.64,1.39,34.98,94.46
ICICI AMC,Capital Markets,153818.19,,,,,,,32.44,52.3
ICICI Bank,Banks,986915.07,14.52,17.21,17.78,17.89,7.87,5.51,7.46,18.64
ICICI Lombard,Insurance,94741.32,12.45,20,5.91,18.8,24.86,0,12.53,34.64
ICICI Pru Life,Insurance,94836.34,18.65,17.08,6.75,10.43,11.94,0.19,-2.21,69.26
Icodex Publish.,IT - Services,61.5,,,,64.83,82.77,0.08,110.38,6.07
Icon Facil.,Commercial Services & Supplies,44.56,,,,47.96,49.71,0.02,16.59,12.11
Iconik Sports,Finance,165.28,,,,15.02,17.08,0,42266.67,26.03
ICRA,Capital Markets,5338.1,4.07,7.64,14.84,16.75,23.13,0.01,15.46,28.22
IDBI Bank,Banks,124738.62,67.55,33.19,29.58,13.55,6.78,4.81,-2.52,13.43
Ideaforge Tech,Aerospace & Defense,1787.26,14.2,,,-10.27,-9.69,0.08,-56.66,
Ideal Technopl.,Industrial Products,121.73,73.89,,,19.3,20.19,1.01,5.06,33.63
Identical Brains,Entertainment,26.65,-63.21,,,17.14,23.43,0,10.13,9.13
Identixweb,IT - Software,72.05,,,,24.76,34.33,0,26.05,16.68
IDFC First Bank,Banks,63186.86,25.84,9.67,2.98,4.21,6.22,7.03,11.61,40.11
IDream Film,IT - Software,4.5,176.54,42.87,,,,,-100,
IEC Education,IT - Software,54.71,84.98,,,-0.9,-0.84,0.06,,
IEL,Food Products,90.75,16.78,6.82,57.86,1.91,2.51,0.02,-96.22,
IFB Agro Inds.,Beverages,810.13,78.99,22.52,15.29,4.35,6.75,0.13,21.69,15.59
IFB Industries,Consumer Durables,4447.07,2.52,9.88,-1.88,16.25,19.85,0.18,12.76,33.76
IFCI,Finance,16160.5,45.97,74.18,44.56,2.6,8.08,0.4,-2.8,40.45
IFGL Refractori.,Industrial Products,1232.76,-0.39,14.49,5.69,3.94,5.71,0.19,16.35,40.42
IFL Enterprises,Commercial Services & Supplies,51.05,-42.25,-61.65,-3.89,5.54,7.27,0.01,126,5.91
Igarashi Motors,Auto Components,1131.21,-31.46,-0.25,2.24,5.3,7.73,0.31,-2.83,83.12
IGC Industries,Commercial Services & Supplies,7.78,-68.5,-41.78,-31.93,-0.28,-0.19,0.23,-100,
IIFL Capital,Capital Markets,8982.95,32.8,73.59,39.28,31.58,33.27,0.62,-9.45,15.63
IIFL Finance,Finance,21102.65,64.36,5.39,12.47,4.9,8.81,4.53,17.22,16.47
IIRM Holdings,Commercial Services & Supplies,604.78,-6.82,,,18.62,23.48,0.32,-28.72,30.19
IITL Projects,Realty,22.71,-26.55,39.12,11.04,,16.55,,-109.8,16.46
IKIO Tech,Consumer Durables,1097.15,-36.01,,,5.55,8.22,0.1,15.77,57.74
IKOMA Technologies,Industrial Manufacturing,35.43,-88.2,,,14.36,17.03,0.17,-82.56,
IL&FS Engg.,Construction,336.98,-24.12,27.16,49.86,,,,-14.41,
IL&FS Inv.Manag.,Capital Markets,230.19,-21.69,2.53,10.25,6.44,6.51,0,-30.89,28.92
